,date,city,country,lat,lng,temp,maxtemp,humidity,cloud,wind,just_date
307,2020-01-11 15:58:50,Calvinia,ZA,-31.47,19.78,31.69,31.69,13,0,8.38,2020-01-11
308,2020-01-11 15:58:50,Tataouine,TN,32.93,10.45,15.0,15.0,41,20,2.1,2020-01-11
309,2020-01-11 15:58:50,Sitka,US,57.05,-135.33,-7.0,-7.0,48,20,3.6,2020-01-11
310,2020-01-11 15:58:50,Cayenne,GF,4.93,-52.33,28.0,28.0,69,75,6.7,2020-01-11
311,2020-01-11 15:58:50,Saint Anthony,US,45.02,-93.22,-17.02,-15.0,71,40,5.1,2020-01-11
312,2020-01-11 15:58:50,Kholtoson,RU,50.3,103.31,-22.55,-22.55,91,0,1.11,2020-01-11
313,2020-01-11 15:58:50,Ogaminana,NG,7.59,6.22,33.76,33.76,30,66,3.27,2020-01-11
314,2020-01-11 15:54:12,Antofagasta,CL,-23.65,-70.4,21.59,22.22,68,20,6.2,2020-01-11
315,2020-01-11 15:58:50,Huilong,CN,31.81,121.66,5.92,6.11,84,88,3.17,2020-01-11
316,2020-01-11 15:58:50,Vanimo,PG,-2.67,141.3,27.67,27.67,80,100,2.24,2020-01-11
317,2020-01-11 15:58:50,Saalfeld,DE,50.65,11.37,2.76,5.0,74,15,3.6,2020-01-11
318,2020-01-11 15:58:50,Bandarbeyla,SO,9.49,50.81,25.88,25.88,73,0,4.9,2020-01-11
319,2020-01-11 15:58:50,Katihar,IN,25.53,87.58,15.08,15.08,67,0,3.64,2020-01-11
320,2020-01-11 15:58:51,Shimoda,JP,34.67,138.95,3.92,4.44,85,0,8.38,2020-01-11
321,2020-01-11 15:58:51,Lasem,ID,-6.69,111.45,27.04,27.04,77,100,3.57,2020-01-11
322,2020-01-11 15:58:51,Katsuura,JP,35.13,140.3,6.62,7.22,75,20,4.6,2020-01-11
323,2020-01-11 15:58:51,Kulunda,RU,52.57,78.94,-11.61,-11.61,91,100,3.72,2020-01-11
324,2020-01-11 15:58:51,Sur,OM,22.57,59.53,22.18,22.18,77,78,2.76,2020-01-11
325,2020-01-11 15:58:51,Atbasar,KZ,51.8,68.33,-15.44,-15.44,86,87,1.9,2020-01-11
326,2020-01-11 15:58:51,Saryg-Sep,RU,51.5,95.6,-29.0,-29.0,99,0,0.12,2020-01-11
327,2020-01-11 15:58:51,Paamiut,GL,61.99,-49.67,-12.64,-12.64,89,100,5.55,2020-01-11
328,2020-01-11 15:58:51,Demba,CD,-5.51,22.27,25.27,25.27,70,100,1.62,2020-01-11
329,2020-01-11 15:58:51,Kovdor,RU,67.57,30.48,-6.15,-6.15,89,100,4.14,2020-01-11
330,2020-01-11 15:58:51,Vila Franca do Campo,PT,37.72,-25.43,17.0,17.0,63,75,5.7,2020-01-11
331,2020-01-11 15:58:51,Gibara,CU,21.11,-76.13,28.0,28.0,58,20,8.7,2020-01-11
332,2020-01-11 15:58:51,Laurel,US,39.1,-76.85,16.5,18.89,72,1,5.1,2020-01-11
